X,Y
1.0273602,-0.99760486
-1.2541739, 1.18472419
0.6617140, 1.27018531
0.6034741,-0.07730802
1.0435190, 1.11402216
0.8144443,-0.45985219
0.4059925, 0.12195075
1.3358706, 1.21527220
-0.250123, 1.00314519
0.3706367,-0.20038798
5.6111454, 0.19269892
5.7162827,-0.12180132
5.9547931, 0.17825034
4.6032726,-0.07717339
5.1798835,-0.16220696
6.4675253, 0.98916777
3.7542549, 1.25282692
5.1669359, 0.71052749
5.6704466,-0.23986058
4.8972313, 1.97087610
2.5612087, 5.36235767
3.5489501, 6.55329430
1.5040625, 5.84333554
2.3255725, 4.82462140
1.4319296, 5.05659421
1.4212184, 4.77284333
4.0678750, 4.41853058
1.1682212, 5.55445099
3.0545116, 7.41388115
1.4710625, 4.47311276
